Property Name|Default|Meaning|Since Version
spark.sql.sources.parallelPartitionDiscovery.threshold|32|The maximum number of paths allowed for listing files at driver side. If the number of detected paths exceeds this value during partition discovery, it tries to list the files with another Spark distributed job. This configuration is effective only when using file-based sources such as Parquet, JSON and ORC.|1.5.0
spark.sql.sources.partitionColumnTypeInference.enabled|true|When true, automatically infer the data types for partitioned columns.|1.5.0
spark.sql.sources.partitionOverwriteMode|STATIC|"When INSERT OVERWRITE a partitioned data source table, we currently support 2 modes: static and dynamic. In static mode, Spark deletes all the partitions that match the partition specification(e.g. PARTITION(a=1,b)) in the INSERT statement, before overwriting. In dynamic mode, Spark doesn't delete partitions ahead, and only overwrite those partitions that have data written into it at runtime. By default we use static mode to keep the same behavior of Spark prior to 2.3. Note that this config doesn't affect Hive serde tables, as they are always overwritten with dynamic mode. This can also be set as an output option for a data source using key partitionOverwriteMode (which takes precedence over this setting), e.g. dataframe.write.option(""partitionOverwriteMode"", ""dynamic"").save(path)."|2.3.0
spark.sql.sources.v2.bucketing.allowCompatibleTransforms.enabled|false|Whether to allow storage-partition join in the case where the partition transforms are compatible but not identical. This config requires both spark.sql.sources.v2.bucketing.enabled and spark.sql.sources.v2.bucketing.pushPartValues.enabled to be enabled and spark.sql.sources.v2.bucketing.partiallyClusteredDistribution.enabled to be disabled.|4.0.0
spark.sql.sources.v2.bucketing.allowJoinKeysSubsetOfPartitionKeys.enabled|false|Whether to allow storage-partition join in the case where join keys are a subset of the partition keys of the source tables. At planning time, Spark will group the partitions by only those keys that are in the join keys. This is currently enabled only if spark.sql.requireAllClusterKeysForDistribution is false.|4.0.0
spark.sql.sources.v2.bucketing.enabled|true|Similar to spark.sql.sources.bucketing.enabled, this config is used to enable bucketing for V2 data sources. When turned on, Spark will recognize the specific distribution reported by a V2 data source through SupportsReportPartitioning, and will try to avoid shuffle if necessary.|3.3.0
spark.sql.sources.v2.bucketing.partiallyClusteredDistribution.enabled|false|During a storage-partitioned join, whether to allow input partitions to be partially clustered, when both sides of the join are of KeyGroupedPartitioning. At planning time, Spark will pick the side with less data size based on table statistics, group and replicate them to match the other side. This is an optimization on skew join and can help to reduce data skewness when certain partitions are assigned large amount of data. This config requires both spark.sql.sources.v2.bucketing.enabled and spark.sql.sources.v2.bucketing.pushPartValues.enabled to be enabled|3.4.0
spark.sql.sources.v2.bucketing.partition.filter.enabled|false|Whether to filter partitions when running storage-partition join. When enabled, partitions without matches on the other side can be omitted for scanning, if allowed by the join type. This config requires both spark.sql.sources.v2.bucketing.enabled and spark.sql.sources.v2.bucketing.pushPartValues.enabled to be enabled.|4.0.0
spark.sql.sources.v2.bucketing.pushPartValues.enabled|true|Whether to pushdown common partition values when spark.sql.sources.v2.bucketing.enabled is enabled. When turned on, if both sides of a join are of KeyGroupedPartitioning and if they share compatible partition keys, even if they don't have the exact same partition values, Spark will calculate a superset of partition values and pushdown that info to scan nodes, which will use empty partitions for the missing partition values on either side. This could help to eliminate unnecessary shuffles|3.4.0
spark.sql.sources.v2.bucketing.shuffle.enabled|false|During a storage-partitioned join, whether to allow to shuffle only one side. When only one side is KeyGroupedPartitioning, if the conditions are met, spark will only shuffle the other side. This optimization will reduce the amount of data that needs to be shuffle. This config requires spark.sql.sources.v2.bucketing.enabled to be enabled|4.0.0
spark.sql.sources.v2.bucketing.sorting.enabled|false|When turned on, Spark will recognize the specific distribution reported by a V2 data source through SupportsReportPartitioning, and will try to avoid a shuffle if possible when sorting by those columns. This config requires spark.sql.sources.v2.bucketing.enabled to be enabled.|4.0.0
spark.sql.stackTracesInDataFrameContext|1|The number of non-Spark stack traces in the captured DataFrame query context.|4.0.0
spark.sql.statistics.fallBackToHdfs|false|When true, it will fall back to HDFS if the table statistics are not available from table metadata. This is useful in determining if a table is small enough to use broadcast joins. This flag is effective only for non-partitioned Hive tables. For non-partitioned data source tables, it will be automatically recalculated if table statistics are not available. For partitioned data source and partitioned Hive tables, It is 'spark.sql.defaultSizeInBytes' if table statistics are not available.|2.0.0
spark.sql.statistics.histogram.enabled|false|Generates histograms when computing column statistics if enabled. Histograms can provide better estimation accuracy. Currently, Spark only supports equi-height histogram. Note that collecting histograms takes extra cost. For example, collecting column statistics usually takes only one table scan, but generating equi-height histogram will cause an extra table scan.|2.3.0
spark.sql.statistics.size.autoUpdate.enabled|false|Enables automatic update for table size once table's data is changed. Note that if the total number of files of the table is very large, this can be expensive and slow down data change commands.|2.3.0
spark.sql.statistics.updatePartitionStatsInAnalyzeTable.enabled|false|When this config is enabled, Spark will also update partition statistics in analyze table command (i.e., ANALYZE TABLE .. COMPUTE STATISTICS [NOSCAN]). Note the command will also become more expensive. When this config is disabled, Spark will only update table level statistics.|4.0.0
spark.sql.storeAssignmentPolicy|ANSI|When inserting a value into a column with different data type, Spark will perform type coercion. Currently, we support 3 policies for the type coercion rules: ANSI, legacy and strict. With ANSI policy, Spark performs the type coercion as per ANSI SQL. In practice, the behavior is mostly the same as PostgreSQL. It disallows certain unreasonable type conversions such as convertingstringtointordoubletoboolean. With legacy policy, Spark allows the type coercion as long as it is a validCast, which is very loose. e.g. convertingstringtointordoubletobooleanis allowed. It is also the only behavior in Spark 2.x and it is compatible with Hive. With strict policy, Spark doesn't allow any possible precision loss or data truncation in type coercion, e.g. convertingdoubletointordecimaltodoubleis not allowed.|3.0.0
spark.sql.streaming.checkpointLocation|(none)|The default location for storing checkpoint data for streaming queries.|2.0.0
spark.sql.streaming.continuous.epochBacklogQueueSize|10000|The max number of entries to be stored in queue to wait for late epochs. If this parameter is exceeded by the size of the queue, stream will stop with an error.|3.0.0
spark.sql.streaming.disabledV2Writers||A comma-separated list of fully qualified data source register class names for which StreamWriteSupport is disabled. Writes to these sources will fall back to the V1 Sinks.|2.3.1
spark.sql.streaming.fileSource.cleaner.numThreads|1|Number of threads used in the file source completed file cleaner.|3.0.0
spark.sql.streaming.forceDeleteTempCheckpointLocation|false|When true, enable temporary checkpoint locations force delete.|3.0.0
spark.sql.streaming.metricsEnabled|false|Whether Dropwizard/Codahale metrics will be reported for active streaming queries.|2.0.2
spark.sql.streaming.multipleWatermarkPolicy|min|Policy to calculate the global watermark value when there are multiple watermark operators in a streaming query. The default value is 'min' which chooses the minimum watermark reported across multiple operators. Other alternative value is 'max' which chooses the maximum across multiple operators. Note: This configuration cannot be changed between query restarts from the same checkpoint location.|2.4.0
spark.sql.streaming.noDataMicroBatches.enabled|true|Whether streaming micro-batch engine will execute batches without data for eager state management for stateful streaming queries.|2.4.1
spark.sql.streaming.numRecentProgressUpdates|100|The number of progress updates to retain for a streaming query|2.1.1
spark.sql.streaming.realTimeMode.allowlistCheck|true|Whether to check all operators, sinks used in real-time mode are in the allowlist.|4.1.0
spark.sql.streaming.realTimeMode.minBatchDuration|5000ms|The minimum long-running batch duration in milliseconds for real-time mode.|4.1.0
spark.sql.streaming.sessionWindow.merge.sessions.in.local.partition|false|When true, streaming session window sorts and merge sessions in local partition prior to shuffle. This is to reduce the rows to shuffle, but only beneficial when there're lots of rows in a batch being assigned to same sessions.|3.2.0
spark.sql.streaming.stateStore.commitValidation.enabled|true|When true, Spark will validate that all StateStore instances have committed for stateful streaming queries using foreachBatch. This helps detect cases where user-defined functions in foreachBatch (e.g., show(), limit()) don't process all partitions, which can lead to incorrect results. The validation only applies to foreachBatch sinks without global aggregates or limits.|4.1.0
spark.sql.streaming.stateStore.encodingFormat|unsaferow|The encoding format used for stateful operators to store information in the state store|4.0.0
spark.sql.streaming.stateStore.stateSchemaCheck|true|When true, Spark will validate the state schema against schema on existing state and fail query if it's incompatible.|3.1.0
spark.sql.streaming.stopActiveRunOnRestart|true|Running multiple runs of the same streaming query concurrently is not supported. If we find a concurrent active run for a streaming query (in the same or different SparkSessions on the same cluster) and this flag is true, we will stop the old streaming query run to start the new one.|3.0.0
spark.sql.streaming.stopTimeout|0|How long to wait in milliseconds for the streaming execution thread to stop when calling the streaming query's stop() method. 0 or negative values wait indefinitely.|3.0.0
spark.sql.streaming.transformWithState.stateSchemaVersion|3|The version of the state schema used by the transformWithState operator|4.0.0
spark.sql.thriftServer.interruptOnCancel|(value ofspark.sql.execution.interruptOnCancel)|When true, all running tasks will be interrupted if one cancels a query. When false, all running tasks will remain until finished.|3.2.0
spark.sql.thriftServer.queryTimeout|0ms|Set a query duration timeout in seconds in Thrift Server. If the timeout is set to a positive value, a running query will be cancelled automatically when the timeout is exceeded, otherwise the query continues to run till completion. If timeout values are set for each statement viajava.sql.Statement.setQueryTimeoutand they are smaller than this configuration value, they take precedence. If you set this timeout and prefer to cancel the queries right away without waiting task to finish, consider enabling spark.sql.thriftServer.interruptOnCancel together.|3.1.0
spark.sql.thriftserver.scheduler.pool|(none)|Set a Fair Scheduler pool for a JDBC client session.|1.1.1
spark.sql.thriftserver.ui.retainedSessions|200|The number of SQL client sessions kept in the JDBC/ODBC web UI history.|1.4.0
spark.sql.thriftserver.ui.retainedStatements|200|The number of SQL statements kept in the JDBC/ODBC web UI history.|1.4.0
spark.sql.timeTravelTimestampKey|timestampAsOf|The option name to specify the time travel timestamp when reading a table.|4.0.0
spark.sql.timeTravelVersionKey|versionAsOf|The option name to specify the time travel table version when reading a table.|4.0.0
spark.sql.timeType.enabled|false|When true, the TIME data type is supported.|4.1.0
spark.sql.timestampType|TIMESTAMP_LTZ|Configures the default timestamp type of Spark SQL, including SQL DDL, Cast clause, type literal and the schema inference of data sources. Setting the configuration as TIMESTAMP_NTZ will use TIMESTAMP WITHOUT TIME ZONE as the default type while putting it as TIMESTAMP_LTZ will use TIMESTAMP WITH LOCAL TIME ZONE. Before the 3.4.0 release, Spark only supports the TIMESTAMP WITH LOCAL TIME ZONE type.|3.4.0
spark.sql.transposeMaxValues|500|When doing a transpose without specifying values for the index column this is the maximum number of values that will be transposed without error.|4.0.0
spark.sql.tvf.allowMultipleTableArguments.enabled|false|When true, allows multiple table arguments for table-valued functions, receiving the cartesian product of all the rows of these tables.|3.5.0
spark.sql.ui.explainMode|formatted|Configures the query explain mode used in the Spark SQL UI. The value can be 'simple', 'extended', 'codegen', 'cost', or 'formatted'. The default value is 'formatted'.|3.1.0
spark.sql.variable.substitute|true|This enables substitution using syntax like${var},${system:var}, and${env:var}.|2.0.0
spark.sql.cache.serializer|org.apache.spark.sql.execution.columnar.DefaultCachedBatchSerializer|The name of a class that implements org.apache.spark.sql.columnar.CachedBatchSerializer. It will be used to translate SQL data into a format that can more efficiently be cached. The underlying API is subject to change so use with caution. Multiple classes cannot be specified. The class must have a no-arg constructor.|3.1.0
spark.sql.catalog.spark_catalog.defaultDatabase|default|The default database for session catalog.|3.4.0
spark.sql.event.truncate.length|2147483647|Threshold of SQL length beyond which it will be truncated before adding to event. Defaults to no truncation. If set to 0, callsite will be logged instead.|3.0.0
spark.sql.extensions|(none)|A comma-separated list of classes that implement Function1[SparkSessionExtensions, Unit] used to configure Spark Session extensions. The classes must have a no-args constructor. If multiple extensions are specified, they are applied in the specified order. For the case of rules and planner strategies, they are applied in the specified order. For the case of parsers, the last parser is used and each parser can delegate to its predecessor. For the case of function name conflicts, the last registered function name is used.|2.2.0
spark.sql.extensions.test.loadFromCp|true|Flag that determines if we should load extensions from the classpath using the SparkSessionExtensionsProvider mechanism. This is a test only flag.|
spark.sql.hive.metastore.barrierPrefixes||A comma separated list of class prefixes that should explicitly be reloaded for each version of Hive that Spark SQL is communicating with. For example, Hive UDFs that are declared in a prefix that typically would be shared (i.e.org.apache.spark.*).|1.4.0
spark.sql.hive.metastore.jars|builtin|"Location of the jars that should be used to instantiate the HiveMetastoreClient. This property can be one of four options: 1. ""builtin"" Use Hive 2.3.10, which is bundled with the Spark assembly when-Phiveis enabled. When this option is chosen,spark.sql.hive.metastore.versionmust be either2.3.10or not defined. 2. ""maven"" Use Hive jars of specified version downloaded from Maven repositories. 3. ""path"" Use Hive jars configured byspark.sql.hive.metastore.jars.pathin comma separated format. Support both local or remote paths.The provided jars should be the same version asspark.sql.hive.metastore.version. 4. A classpath in the standard format for both Hive and Hadoop. The provided jars should be the same version asspark.sql.hive.metastore.version."|1.4.0
spark.sql.hive.metastore.jars.path||Comma-separated paths of the jars that used to instantiate the HiveMetastoreClient. This configuration is useful only whenspark.sql.hive.metastore.jarsis set aspath. The paths can be any of the following format: 1. file://path/to/jar/foo.jar 2. hdfs://nameservice/path/to/jar/foo.jar 3. /path/to/jar/ (path without URI scheme follow conffs.defaultFS's URI schema) 4. [http/https/ftp]://path/to/jar/foo.jar Note that 1, 2, and 3 support wildcard. For example: 1. file://path/to/jar/,file://path2/to/jar//.jar 2. hdfs://nameservice/path/to/jar/,hdfs://nameservice2/path/to/jar//.jar|3.1.0
spark.sql.hive.metastore.sharedPrefixes|com.mysql.jdbc,com.mysql.cj,org.postgresql,com.microsoft.sqlserver,oracle.jdbc|A comma separated list of class prefixes that should be loaded using the classloader that is shared between Spark SQL and a specific version of Hive. An example of classes that should be shared is JDBC drivers that are needed to talk to the metastore. Other classes that need to be shared are those that interact with classes that are already shared. For example, custom appenders that are used by log4j.|1.4.0
spark.sql.hive.metastore.version|2.3.10|Version of the Hive metastore. Available options are2.0.0through2.3.10,3.0.0through3.1.3and4.0.0through4.1.0.|1.4.0
spark.sql.hive.thriftServer.singleSession|false|When set to true, Hive Thrift server is running in a single session mode. All the JDBC/ODBC connections share the temporary views, function registries, SQL configuration and the current database.|1.6.0
spark.sql.hive.version|2.3.10|The compiled, a.k.a, builtin Hive version of the Spark distribution bundled with. Note that, this a read-only conf and only used to report the built-in hive version. If you want a different metastore client for Spark to call, please refer to spark.sql.hive.metastore.version.|1.1.1
spark.sql.metadataCacheTTLSeconds|-1000ms|Time-to-live (TTL) value for the metadata caches: partition file metadata cache and session catalog cache. This configuration only has an effect when this value having a positive value (> 0). It also requires setting 'spark.sql.catalogImplementation' tohive, setting 'spark.sql.hive.filesourcePartitionFileCacheSize' > 0 and setting 'spark.sql.hive.manageFilesourcePartitions' totrueto be applied to the partition file metadata cache.|3.1.0
spark.sql.queryExecutionListeners|(none)|List of class names implementing QueryExecutionListener that will be automatically added to newly created sessions. The classes should have either a no-arg constructor, or a constructor that expects a SparkConf argument.|2.3.0
spark.sql.sources.disabledJdbcConnProviderList||Configures a list of JDBC connection providers, which are disabled. The list contains the name of the JDBC connection providers separated by comma.|3.1.0
spark.sql.streaming.streamingQueryListeners|(none)|List of class names implementing StreamingQueryListener that will be automatically added to newly created sessions. The classes should have either a no-arg constructor, or a constructor that expects a SparkConf argument.|2.4.0
spark.sql.streaming.ui.enabled|true|Whether to run the Structured Streaming Web UI for the Spark application when the Spark Web UI is enabled.|3.0.0
spark.sql.streaming.ui.retainedProgressUpdates|100|The number of progress updates to retain for a streaming query for Structured Streaming UI.|3.0.0
spark.sql.streaming.ui.retainedQueries|100|The number of inactive queries to retain for Structured Streaming UI.|3.0.0
spark.sql.ui.retainedExecutions|1000|Number of executions to retain in the Spark UI.|1.5.0
spark.sql.warehouse.dir|(value of$PWD/spark-warehouse)|The default location for managed databases and tables.|2.0.0
spark.streaming.backpressure.enabled|false|Enables or disables Spark Streaming's internal backpressure mechanism (since 1.5). This enables the Spark Streaming to control the receiving rate based on the current batch scheduling delays and processing times so that the system receives only as fast as the system can process. Internally, this dynamically sets the maximum receiving rate of receivers. This rate is upper bounded by the valuesspark.streaming.receiver.maxRateandspark.streaming.kafka.maxRatePerPartitionif they are set (see below).|1.5.0
spark.streaming.backpressure.initialRate|not set|This is the initial maximum receiving rate at which each receiver will receive data for the first batch when the backpressure mechanism is enabled.|2.0.0
spark.streaming.blockInterval|200ms|Interval at which data received by Spark Streaming receivers is chunked into blocks of data before storing them in Spark. Minimum recommended - 50 ms. See theperformance tuningsection in the Spark Streaming programming guide for more details.|0.8.0
spark.streaming.receiver.maxRate|not set|Maximum rate (number of records per second) at which each receiver will receive data. Effectively, each stream will consume at most this number of records per second. Setting this configuration to 0 or a negative number will put no limit on the rate. See thedeployment guidein the Spark Streaming programming guide for mode details.|1.0.2
spark.streaming.receiver.writeAheadLog.enable|false|Enable write-ahead logs for receivers. All the input data received through receivers will be saved to write-ahead logs that will allow it to be recovered after driver failures. See thedeployment guidein the Spark Streaming programming guide for more details.|1.2.1
spark.streaming.unpersist|true|Force RDDs generated and persisted by Spark Streaming to be automatically unpersisted from Spark's memory. The raw input data received by Spark Streaming is also automatically cleared. Setting this to false will allow the raw data and persisted RDDs to be accessible outside the streaming application as they will not be cleared automatically. But it comes at the cost of higher memory usage in Spark.|0.9.0
spark.streaming.stopGracefullyOnShutdown|false|Iftrue, Spark shuts down theStreamingContextgracefully on JVM shutdown rather than immediately.|1.4.0
spark.streaming.kafka.maxRatePerPartition|not set|Maximum rate (number of records per second) at which data will be read from each Kafka partition when using the new Kafka direct stream API. See theKafka Integration guidefor more details.|1.3.0
spark.streaming.kafka.minRatePerPartition|1|Minimum rate (number of records per second) at which data will be read from each Kafka partition when using the new Kafka direct stream API.|2.4.0
spark.streaming.ui.retainedBatches|1000|How many batches the Spark Streaming UI and status APIs remember before garbage collecting.|1.0.0
spark.streaming.driver.writeAheadLog.closeFileAfterWrite|false|Whether to close the file after writing a write-ahead log record on the driver. Set this to 'true' when you want to use S3 (or any file system that does not support flushing) for the metadata WAL on the driver.|1.6.0
spark.streaming.receiver.writeAheadLog.closeFileAfterWrite|false|Whether to close the file after writing a write-ahead log record on the receivers. Set this to 'true' when you want to use S3 (or any file system that does not support flushing) for the data WAL on the receivers.|1.6.0
spark.r.numRBackendThreads|2|Number of threads used by RBackend to handle RPC calls from SparkR package.|1.4.0
spark.r.command|Rscript|Executable for executing R scripts in cluster modes for both driver and workers.|1.5.3
spark.r.driver.command|spark.r.command|Executable for executing R scripts in client modes for driver. Ignored in cluster modes.|1.5.3
spark.r.shell.command|R|Executable for executing sparkR shell in client modes for driver. Ignored in cluster modes. It is the same as environment variableSPARKR_DRIVER_R, but take precedence over it.spark.r.shell.commandis used for sparkR shell whilespark.r.driver.commandis used for running R script.|2.1.0
spark.r.backendConnectionTimeout|6000|Connection timeout set by R process on its connection to RBackend in seconds.|2.1.0
spark.r.heartBeatInterval|100|Interval for heartbeats sent from SparkR backend to R process to prevent connection timeout.|2.1.0
spark.graphx.pregel.checkpointInterval|-1|Checkpoint interval for graph and message in Pregel. It used to avoid stackOverflowError due to long lineage chains after lots of iterations. The checkpoint is disabled by default.|2.2.0
spark.shuffle.push.server.mergedShuffleFileManagerImpl|org.apache.spark.network.shuffle.NoOpMergedShuffleFileManager|Class name of the implementation ofMergedShuffleFileManagerthat manages push-based shuffle. This acts as a server side config to disable or enable push-based shuffle. By default, push-based shuffle is disabled at the server side.To enable push-based shuffle on the server side, set this config toorg.apache.spark.network.shuffle.RemoteBlockPushResolver|3.2.0
spark.shuffle.push.server.minChunkSizeInMergedShuffleFile|2m|The minimum size of a chunk when dividing a merged shuffle file into multiple chunks during push-based shuffle. A merged shuffle file consists of multiple small shuffle blocks. Fetching the complete merged shuffle file in a single disk I/O increases the memory requirements for both the clients and the external shuffle services. Instead, the external shuffle service serves the merged file inMB-sized chunks.This configuration controls how big a chunk can get. A corresponding index file for each merged shuffle file will be generated indicating chunk boundaries.Setting this too high would increase the memory requirements on both the clients and the external shuffle service.Setting this too low would increase the overall number of RPC requests to external shuffle service unnecessarily.|3.2.0
spark.shuffle.push.server.mergedIndexCacheSize|100m|The maximum size of cache in memory which could be used in push-based shuffle for storing merged index files. This cache is in addition to the one configured viaspark.shuffle.service.index.cache.size.|3.2.0
spark.shuffle.push.enabled|false|Set to true to enable push-based shuffle on the client side and works in conjunction with the server side flagspark.shuffle.push.server.mergedShuffleFileManagerImpl.|3.2.0
spark.shuffle.push.finalize.timeout|10s|The amount of time driver waits in seconds, after all mappers have finished for a given shuffle map stage, before it sends merge finalize requests to remote external shuffle services. This gives the external shuffle services extra time to merge blocks. Setting this too long could potentially lead to performance regression.|3.2.0
spark.shuffle.push.maxRetainedMergerLocations|500|Maximum number of merger locations cached for push-based shuffle. Currently, merger locations are hosts of external shuffle services responsible for handling pushed blocks, merging them and serving merged blocks for later shuffle fetch.|3.2.0
spark.shuffle.push.mergersMinThresholdRatio|0.05|Ratio used to compute the minimum number of shuffle merger locations required for a stage based on the number of partitions for the reducer stage. For example, a reduce stage which has 100 partitions and uses the default value 0.05 requires at least 5 unique merger locations to enable push-based shuffle.|3.2.0
spark.shuffle.push.mergersMinStaticThreshold|5|The static threshold for number of shuffle push merger locations should be available in order to enable push-based shuffle for a stage. Note this config works in conjunction withspark.shuffle.push.mergersMinThresholdRatio. Maximum ofspark.shuffle.push.mergersMinStaticThresholdandspark.shuffle.push.mergersMinThresholdRatioratio number of mergers needed to enable push-based shuffle for a stage. For example: with 1000 partitions for the child stage with spark.shuffle.push.mergersMinStaticThreshold as 5 and spark.shuffle.push.mergersMinThresholdRatio set to 0.05, we would need at least 50 mergers to enable push-based shuffle for that stage.|3.2.0
spark.shuffle.push.numPushThreads|(none)|Specify the number of threads in the block pusher pool. These threads assist in creating connections and pushing blocks to remote external shuffle services. By default, the threadpool size is equal to the number of spark executor cores.|3.2.0
spark.shuffle.push.maxBlockSizeToPush|1m|The max size of an individual block to push to the remote external shuffle services. Blocks larger than this threshold are not pushed to be merged remotely. These shuffle blocks will be fetched in the original manner.Setting this too high would result in more blocks to be pushed to remote external shuffle services but those are already efficiently fetched with the existing mechanisms resulting in additional overhead of pushing the large blocks to remote external shuffle services. It is recommended to setspark.shuffle.push.maxBlockSizeToPushlesser thanspark.shuffle.push.maxBlockBatchSizeconfig's value.Setting this too low would result in lesser number of blocks getting merged and directly fetched from mapper external shuffle service results in higher small random reads affecting overall disk I/O performance.|3.2.0
spark.shuffle.push.maxBlockBatchSize|3m|The max size of a batch of shuffle blocks to be grouped into a single push request. Default is set to3min order to keep it slightly higher thanspark.storage.memoryMapThresholddefault which is2mas it is very likely that each batch of block gets memory mapped which incurs higher overhead.|3.2.0
spark.shuffle.push.merge.finalizeThreads|8|Number of threads used by driver to finalize shuffle merge. Since it could potentially take seconds for a large shuffle to finalize, having multiple threads helps driver to handle concurrent shuffle merge finalize requests when push-based shuffle is enabled.|3.3.0
spark.shuffle.push.minShuffleSizeToWait|500m|Driver will wait for merge finalization to complete only if total shuffle data size is more than this threshold. If total shuffle size is less, driver will immediately finalize the shuffle output.|3.3.0
spark.shuffle.push.minCompletedPushRatio|1.0|Fraction of minimum map partitions that should be push complete before driver starts shuffle merge finalization during push based shuffle.|3.3.0
